x,y,z,intensity,volume,csv_path
2.259090679,1.4442783636,1.3305778153,62189248,466.6431488,Q6.13/R_3lAJ9xY4kGlL99f_nuclei1.csv
22.74,8.963,4.239,163853.06,403.416,Q6.13/R_1lxxm7Riv8MvNVz_nuclei1.csv
5.666,9.15,5.422,186784.96,465.669,Q6.13/R_1lxxm7Riv8MvNVz_nuclei1.csv
13.849,23.528,9.221,225605.2,495.816,Q6.13/R_1lxxm7Riv8MvNVz_nuclei1.csv
22.499,25.977,9.458,202013.75,442.29,Q6.13/R_1lxxm7Riv8MvNVz_nuclei1.csv
24.935,8.212,13.028,167000.93,416.748,Q6.13/R_1lxxm7Riv8MvNVz_nuclei1.csv
22.74843234,9.048272875,4.227867783,32249376,231.9605642,Q6.13/R_2DNRFrAvCDUX1EL_nuclei1.csv
5.643742077,9.093543983,5.639438628,35082661,247.8924101,Q6.13/R_2DNRFrAvCDUX1EL_nuclei1.csv
13.70650672,23.5945398,8.891189712,41536824,256.0131451,Q6.13/R_2DNRFrAvCDUX1EL_nuclei1.csv
24.94604753,8.204528184,13.3740266,32237371,227.1016118,Q6.13/R_2DNRFrAvCDUX1EL_nuclei1.csv
22.44343774,25.98084901,9.814196281,39638831,251.0714219,Q6.13/R_2DNRFrAvCDUX1EL_nuclei1.csv
25.02,8.28,13.2,47725300,331.95,Q6.13/R_3j9w1bGwWGd8yOC_nuclei1.csv
22.3,26,9.73,65296600,420.55,Q6.13/R_3j9w1bGwWGd8yOC_nuclei1.csv
13.97,23.65,8.86,74503400,475.69,Q6.13/R_3j9w1bGwWGd8yOC_nuclei1.csv
5.72,9.21,5.51,54361500,377.79,Q6.13/R_3j9w1bGwWGd8yOC_nuclei1.csv
22.81,9.12,4.23,47040300,330.54,Q6.13/R_3j9w1bGwWGd8yOC_nuclei1.csv
22.62492747,9.060865916,3.0036,62964196,620.4866921,Q6.13/R_cHLBH1bftzVtPDH_nuclei1.csv
5.549232532,9.194081172,4.3568,66798329,1259.412879,Q6.13/R_cHLBH1bftzVtPDH_nuclei1.csv
14.12911214,23.65239346,8.912,85255388,1099.380138,Q6.13/R_cHLBH1bftzVtPDH_nuclei1.csv
22.45271332,25.94032834,9.7356,68951233,1384.733999,Q6.13/R_cHLBH1bftzVtPDH_nuclei1.csv
22.09020936,10.62168816,16.897,73901727,845.9604782,Q6.13/R_cHLBH1bftzVtPDH_nuclei1.csv
22.81591789,9.052204699,4.115412335,74386588,729.3790112,Q6.13/R_eRvCx60GZHVIflf_nuclei1.csv
25.04586622,8.211047078,13.14907067,78727710,811.4345728,Q6.13/R_eRvCx60GZHVIflf_nuclei1.csv
13.88085118,23.65529047,8.726430361,107144797,927.2004768,Q6.13/R_eRvCx60GZHVIflf_nuclei1.csv
22.55834002,26.19193521,9.699803631,90747684,803.4206016,Q6.13/R_eRvCx60GZHVIflf_nuclei1.csv
5.635891387,9.116656273,5.420593685,88914216,920.930144,Q6.13/R_eRvCx60GZHVIflf_nuclei1.csv
22.0790336039,8.7939503895,4.0674186717,84514986.8790283,316.84896,Q6.13/R_3kpixa7Fm6wlFk2_nuclei1.csv
5.5474130761,8.9329645092,5.4163791238,100024232.515808,359.40384,Q6.13/R_3kpixa7Fm6wlFk2_nuclei1.csv
13.3280267559,22.8157583848,8.768239758,116691894.410095,396.97632,Q6.13/R_3kpixa7Fm6wlFk2_nuclei1.csv
21.9152312406,25.2202773611,9.6427228623,103759192.435303,360.93312,Q6.13/R_3kpixa7Fm6wlFk2_nuclei1.csv
24.2689430776,7.9868914959,13.1506185238,86996121.3058472,315.4608,Q6.13/R_3kpixa7Fm6wlFk2_nuclei1.csv
22.2611,25.9919,9.7358,55470500,336.519,Q6.13/R_1F9A4K8LNlJoksJ_nuclei1.csv
13.9667,23.7724,8.81665,63136000,379.062,Q6.13/R_1F9A4K8LNlJoksJ_nuclei1.csv
24.9838,8.29564,13.255,35817000,232.904,Q6.13/R_1F9A4K8LNlJoksJ_nuclei1.csv
22.8325,9.18128,4.21785,35663400,236.048,Q6.13/R_1F9A4K8LNlJoksJ_nuclei1.csv
5.72708,9.19712,5.53783,42344500,277.373,Q6.13/R_1F9A4K8LNlJoksJ_nuclei1.csv
22.65093854,9.338579091,4.190962822,51700539.89,390.228,Q6.13/R_3kaX79RV1ul5JuI_nuclei1.csv
5.621335245,9.260220824,5.318323929,55667824.95,402.1692,Q6.13/R_3kaX79RV1ul5JuI_nuclei1.csv
13.96797708,23.4486942,8.621842178,74597971.15,492.3172,Q6.13/R_3kaX79RV1ul5JuI_nuclei1.csv
22.14576061,25.72722842,9.627447757,60184788.91,392.2244,Q6.13/R_3kaX79RV1ul5JuI_nuclei1.csv
24.41523122,8.199711753,13.05665312,46378646.77,338.5572,Q6.13/R_3kaX79RV1ul5JuI_nuclei1.csv
22.5448,26.0862,13.8478,63702700,434.871,Q6.13/R_2rCMx6wAGE7bFJh_nuclei1.csv
13.8216,23.6515,12.9592,72280400,488.077,Q6.13/R_2rCMx6wAGE7bFJh_nuclei1.csv
25.0794,8.24665,17.4003,50018000,383.46,Q6.13/R_2rCMx6wAGE7bFJh_nuclei1.csv
22.8572,9.08115,8.23998,47974900,366.289,Q6.13/R_2rCMx6wAGE7bFJh_nuclei1.csv
5.7013,9.19746,9.60508,57871400,446.54,Q6.13/R_2rCMx6wAGE7bFJh_nuclei1.csv
22.4569,26.0565,9.74595,69200000,458.639,Q6.13/R_1qdHCwPCdNvs9xi_nuclei1.csv
13.8399,23.6453,8.86094,78600000,515.773,Q6.13/R_1qdHCwPCdNvs9xi_nuclei1.csv
25.0462,8.23245,13.286,54000000,396.762,Q6.13/R_1qdHCwPCdNvs9xi_nuclei1.csv
22.8369,9.06123,4.16027,51500000,375.367,Q6.13/R_1qdHCwPCdNvs9xi_nuclei1.csv
5.67714,9.18297,5.5062,62300000,460.418,Q6.13/R_1qdHCwPCdNvs9xi_nuclei1.csv
23.7032007587,9.4391423665,4.1332462006,,,Q6.13/R_6E6PxT3N1gr93yh_nuclei.csv
5.884071909,9.5314826572,5.410421161,,,Q6.13/R_6E6PxT3N1gr93yh_nuclei.csv
14.3559996789,24.59224343,8.7716268753,,,Q6.13/R_6E6PxT3N1gr93yh_nuclei.csv
23.1369798346,26.9461416132,9.5966662873,,,Q6.13/R_6E6PxT3N1gr93yh_nuclei.csv
25.9989124225,8.5674577969,13.0922556032,,,Q6.13/R_6E6PxT3N1gr93yh_nuclei.csv
17.7064390279,17.103368611,4.7348731378,,,Q6.13/R_6E6PxT3N1gr93yh_nuclei.csv
8.7135535901,13.876909874,6.6411048006,,,Q6.13/R_6E6PxT3N1gr93yh_nuclei.csv
7.9629579739,4.7373894369,6.8366081126,,,Q6.13/R_6E6PxT3N1gr93yh_nuclei.csv
23.8098671183,21.1930797417,8.7662990631,,,Q6.13/R_6E6PxT3N1gr93yh_nuclei.csv
16.1296177021,13.644295903,11.050751997,,,Q6.13/R_6E6PxT3N1gr93yh_nuclei.csv
12.7739972719,7.9954643045,4.582482406,,,Q6.13/R_6E6PxT3N1gr93yh_nuclei.csv
24.9371799274,16.1921041172,6.2805584302,,,Q6.13/R_6E6PxT3N1gr93yh_nuclei.csv
6.2990061759,15.4050100241,8.0737433431,,,Q6.13/R_6E6PxT3N1gr93yh_nuclei.csv
19.2304766913,24.2257148899,11.5574062749,,,Q6.13/R_6E6PxT3N1gr93yh_nuclei.csv
25.3006459904,9.5514581905,11.4378962972,,,Q6.13/R_6E6PxT3N1gr93yh_nuclei.csv
19.7538567636,14.0811156377,5.3909201837,,,Q6.13/R_6E6PxT3N1gr93yh_nuclei.csv
6.223294881,9.9806587104,7.5827866078,,,Q6.13/R_6E6PxT3N1gr93yh_nuclei.csv
12.5897093666,18.9671812369,8.5464955469,,,Q6.13/R_6E6PxT3N1gr93yh_nuclei.csv
6.8735529604,15.9270599101,13.3789578516,,,Q6.13/R_6E6PxT3N1gr93yh_nuclei.csv
21.2081769884,14.6805315912,13.4034277246,,,Q6.13/R_6E6PxT3N1gr93yh_nuclei.csv
22.952678,9.1543,4.179935,115242176,211.659866,Q6.13/R_1pKaIHOwOnQX5Ms_nuclei1.csv
5.769694,9.217487,5.625505,139420256,248.233219,Q6.13/R_1pKaIHOwOnQX5Ms_nuclei1.csv
13.724718,23.871044,8.94391,155951232,262.901923,Q6.13/R_1pKaIHOwOnQX5Ms_nuclei1.csv
22.732774,26.216222,9.855808,140425856,246.849379,Q6.13/R_1pKaIHOwOnQX5Ms_nuclei1.csv
25.136309,8.37354,13.343671,118243920,212.161123,Q6.13/R_1pKaIHOwOnQX5Ms_nuclei1.csv
